Date,Scheme,Units,,
 02-Dec-2024,LIC PENSION FUND SCHEME C - TIER I Units,0.00,,
 02-Dec-2024,NPS TRUST- A/C HDFC PENSION FUND MANAGEMENT LIMITED SCHEME C - TIER I Units,15.16,,
 04-Dec-2024,NPS TRUST- A/C HDFC PENSION FUND MANAGEMENT LIMITED SCHEME C - TIER I Units,1545.20,,
 01-Jan-2025,NPS TRUST- A/C HDFC PENSION FUND MANAGEMENT LIMITED SCHEME C - TIER I Units,1560.29,,
 11-Jan-2025,NPS TRUST- A/C HDFC PENSION FUND MANAGEMENT LIMITED SCHEME C - TIER I Units,1560.15,,
 03-Feb-2025,NPS TRUST- A/C HDFC PENSION FUND MANAGEMENT LIMITED SCHEME C - TIER I Units,1575.14,,
 03-Mar-2025,NPS TRUST- A/C HDFC PENSION FUND MANAGEMENT LIMITED SCHEME C - TIER I Units,1590.12,,
 02-Apr-2025,NPS TRUST- A/C HDFC PENSION FUND MANAGEMENT LIMITED SCHEME C - TIER I Units,1604.79,,
 05-Apr-2025,NPS TRUST- A/C HDFC PENSION FUND MANAGEMENT LIMITED SCHEME C - TIER I Units,1604.66,,
 02-May-2025,NPS TRUST- A/C HDFC PENSION FUND MANAGEMENT LIMITED SCHEME C - TIER I Units,1619.18,,
 02-Jun-2025,NPS TRUST- A/C HDFC PENSION FUND MANAGEMENT LIMITED SCHEME C - TIER I Units,1633.51,,
 16-Apr-2020,SBI PENSION FUND SCHEME G - TIER I Units,5.32,,
 04-Jul-2020,SBI PENSION FUND SCHEME G - TIER I Units,4.96,,
 20-Jul-2020,SBI PENSION FUND SCHEME G - TIER I Units,0.00,,
 20-Jul-2020,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME G - TIER I Units,528.36,,
 23-Jul-2020,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME G - TIER I Units,540.07,,
 03-Oct-2020,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME G - TIER I Units,539.67,,
 23-Oct-2020,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME G - TIER I Units,560.89,,
 01-Jan-2021,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME G - TIER I Units,604.69,,
 05-Jan-2021,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME G - TIER I Units,997.50,,
 09-Jan-2021,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME G - TIER I Units,997.18,,
 01-Feb-2021,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME G - TIER I Units,1041.49,,
 01-Mar-2021,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME G - TIER I Units,1086.48,,
 05-Apr-2021,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME G - TIER I Units,1130.82,,
 10-Apr-2021,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME G - TIER I Units,1130.40,,
 03-May-2021,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME G - TIER I Units,1174.40,,
 01-Jun-2021,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME G - TIER I Units,1218.27,,
 02-Jul-2021,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME G - TIER I Units,1262.23,,
 03-Jul-2021,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME G - TIER I Units,1261.88,,
 02-Aug-2021,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME G - TIER I Units,1305.63,,
 01-Sep-2021,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME G - TIER I Units,1348.85,,
 04-Oct-2021,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME G - TIER I Units,1391.78,,
 09-Oct-2021,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME G - TIER I Units,1391.45,,
 25-Oct-2021,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME G - TIER I Units,2021.19,,
 01-Nov-2021,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME G - TIER I Units,2072.78,,
 01-Dec-2021,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME G - TIER I Units,2123.78,,
 03-Jan-2022,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME G - TIER I Units,2174.88,,
 08-Jan-2022,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME G - TIER I Units,2174.41,,
 01-Feb-2022,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME G - TIER I Units,2226.35,,
 02-Mar-2022,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME G - TIER I Units,2277.65,,
 04-Apr-2022,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME G - TIER I Units,2328.96,,
 09-Apr-2022,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME G - TIER I Units,2328.54,,
 02-May-2022,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME G - TIER I Units,2380.10,,
 01-Jun-2022,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME G - TIER I Units,2432.31,,
 01-Jul-2022,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME G - TIER I Units,2484.18,,
 09-Jul-2022,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME G - TIER I Units,2483.74,,
 01-Aug-2022,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME G - TIER I Units,2534.91,,
 01-Sep-2022,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME G - TIER I Units,2585.38,,
 03-Oct-2022,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME G - TIER I Units,2636.31,,
 08-Oct-2022,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME G - TIER I Units,2635.89,,
 25-Oct-2022,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME G - TIER I Units,3057.64,,
 01-Nov-2022,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME G - TIER I Units,3116.56,,
 01-Dec-2022,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME G - TIER I Units,3174.43,,
 02-Jan-2023,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME G - TIER I Units,3232.32,,
 07-Jan-2023,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME G - TIER I Units,3231.78,,
 01-Feb-2023,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME G - TIER I Units,3289.15,,
 01-Mar-2023,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME G - TIER I Units,3346.54,,
 03-Apr-2023,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME G - TIER I Units,3403.11,,
 06-Apr-2023,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME G - TIER I Units,3402.64,,
 02-May-2023,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME G - TIER I Units,3458.26,,
 31-May-2023,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME G - TIER I Units,0.00,,
 31-May-2023,LIC PENSION FUND SCHEME G - TIER I Units,2123.91,,
 02-Jun-2023,LIC PENSION FUND SCHEME G - TIER I Units,2157.97,,
 03-Jul-2023,LIC PENSION FUND SCHEME G - TIER I Units,2192.18,,
 14-Jul-2023,LIC PENSION FUND SCHEME G - TIER I Units,2191.88,,
 01-Aug-2023,LIC PENSION FUND SCHEME G - TIER I Units,2225.95,,
 01-Sep-2023,LIC PENSION FUND SCHEME G - TIER I Units,2259.80,,
 03-Oct-2023,LIC PENSION FUND SCHEME G - TIER I Units,2293.66,,
 07-Oct-2023,LIC PENSION FUND SCHEME G - TIER I Units,2293.40,,
 23-Oct-2023,LIC PENSION FUND SCHEME G - TIER I Units,2738.60,,
 01-Nov-2023,LIC PENSION FUND SCHEME G - TIER I Units,2777.43,,
 01-Dec-2023,LIC PENSION FUND SCHEME G - TIER I Units,2815.96,,
 26-Dec-2023,LIC PENSION FUND SCHEME G - TIER I Units,1841.09,,
 28-Dec-2023,LIC PENSION FUND SCHEME G - TIER I Units,1841.09,,
 01-Jan-2024,LIC PENSION FUND SCHEME G - TIER I Units,1864.86,,
 06-Jan-2024,LIC PENSION FUND SCHEME G - TIER I Units,1864.62,,
 01-Feb-2024,LIC PENSION FUND SCHEME G - TIER I Units,1887.89,,
 01-Mar-2024,LIC PENSION FUND SCHEME G - TIER I Units,1910.95,,
 02-Apr-2024,LIC PENSION FUND SCHEME G - TIER I Units,1933.92,,
 06-Apr-2024,LIC PENSION FUND SCHEME G - TIER I Units,1933.74,,
 02-May-2024,LIC PENSION FUND SCHEME G - TIER I Units,1956.74,,
 03-Jun-2024,LIC PENSION FUND SCHEME G - TIER I Units,1979.30,,
 01-Jul-2024,LIC PENSION FUND SCHEME G - TIER I Units,2001.71,,
 06-Jul-2024,LIC PENSION FUND SCHEME G - TIER I Units,2001.54,,
 01-Aug-2024,LIC PENSION FUND SCHEME G - TIER I Units,2023.74,,
 02-Sep-2024,LIC PENSION FUND SCHEME G - TIER I Units,2045.69,,
 01-Oct-2024,LIC PENSION FUND SCHEME G - TIER I Units,2067.25,,
 05-Oct-2024,LIC PENSION FUND SCHEME G - TIER I Units,2067.08,,
 04-Nov-2024,LIC PENSION FUND SCHEME G - TIER I Units,2088.67,,
 02-Dec-2024,LIC PENSION FUND SCHEME G - TIER I Units,2088.67,,
 02-Dec-2024,LIC PENSION FUND SCHEME G - TIER I Units,2110.13,,
 04-Dec-2024,LIC PENSION FUND SCHEME G - TIER I Units,2190.73,,
 01-Jan-2025,LIC PENSION FUND SCHEME G - TIER I Units,2212.16,,
 11-Jan-2025,LIC PENSION FUND SCHEME G - TIER I Units,2211.96,,
 03-Feb-2025,LIC PENSION FUND SCHEME G - TIER I Units,2233.21,,
 03-Mar-2025,LIC PENSION FUND SCHEME G - TIER I Units,2254.50,,
 02-Apr-2025,LIC PENSION FUND SCHEME G - TIER I Units,2275.13,,
 05-Apr-2025,LIC PENSION FUND SCHEME G - TIER I Units,2274.94,,
 02-May-2025,LIC PENSION FUND SCHEME G - TIER I Units,2295.25,,
 02-Jun-2025,LIC PENSION FUND SCHEME G - TIER I Units,2315.45,,
